segment_id,country,posted_speed_limit_kph,operating_speed_kph,road_type,area_type,sample_size,weighted_sample,percent_over_limit,ranked_percentile,speed_gap_kph,source_name,source_streetimagelink,source_analysis_status,pedestrian_presence,cyclist_presence,ptw_presence,urban_flag,intersection_density_flag,roadside_activity_flag,non_separated_traffic_flag,data_quality_flag,score_eligible_flag,context_only_flag,safe_system_reference_speed_kph,speed_limit_gap_score,operating_speed_score,vru_exposure_score,context_score,uncertainty_penalty,speed_safety_score,priority_label
2,Maharashtra,55.0,18.0,secondary,rural,0.5,2.9504756125,0.0,0.0004987531172069825,-37.0,,"73.9651122,21.0463691,73.9910297,21.0647687",Valid,0,0,0,0,0,0,1,1,1,1,50.0,87.5,100.0,100.0,75.0,0.0,90.625,aligned
4,Maharashtra,55.0,18.0,secondary,rural,2.0,4.122476588,0.0,0.000997506234413965,-37.0,उमरी रोड,"76.593981,19.1964024,76.6112397,19.1893524",Valid,0,0,0,0,0,0,1,1,1,1,50.0,87.5,100.0,100.0,75.0,0.0,90.625,aligned
5,Maharashtra,55.0,13.333333333333334,secondary,rural,1.0,4.845749302,0.0,0.0012468827930174563,-41.666666666666664,,"76.0436565,17.370428,76.0713028,17.3902438",Valid,0,0,0,0,0,0,1,1,1,1,50.0,87.5,100.0,100.0,75.0,0.0,90.625,aligned
6,Maharashtra,45.0,62.5,secondary,rural,10.0,5.70855084,0.1,0.0014962593516209476,17.5,,"77.5032536,21.2514168,77.5055305,21.2556724",Valid,0,0,0,0,0,0,1,1,1,1,50.0,100.0,41.666666666666664,100.0,75.0,0.0,83.33333333333334,aligned
9,Maharashtra,55.0,29.5,secondary,rural,5.5,21.191860255500004,0.0,0.0022443890274314216,-25.5,,"76.8742052,19.7121018,76.8447986,19.7287697",Valid,0,0,0,0,0,0,1,1,1,1,50.0,87.5,100.0,100.0,75.0,0.0,90.625,aligned
10,Maharashtra,55.0,35.5,secondary,rural,4.5,22.730468494500002,0.0,0.0024937655860349127,-19.5,,"75.4435521,19.4087744,75.4068624,19.380609",Valid,0,0,0,0,0,0,1,1,1,1,50.0,87.5,100.0,100.0,75.0,0.0,90.625,aligned
11,Maharashtra,55.0,43.0,secondary,rural,4.0,25.318078196,0.0,0.002743142144638404,-12.0,,"75.6148571,18.1260821,75.6732139,18.1301937",Valid,0,0,0,0,0,0,1,1,1,1,50.0,87.5,100.0,100.0,75.0,0.0,90.625,aligned
13,Maharashtra,55.0,42.0,secondary,rural,4.0,27.218883424,0.0,0.0032418952618453864,-13.0,,"74.7606093,19.6568903,74.7204414,19.7035838",Valid,0,0,0,0,0,0,1,1,1,1,50.0,87.5,100.0,100.0,75.0,0.0,90.625,aligned
14,Maharashtra,55.0,29.333333333333332,secondary,rural,4.166666666666667,32.407695091666675,0.0,0.003491271820448878,-25.666666666666668,,"76.5852791,19.1706552,76.6044095,19.2349792",Valid,0,0,0,0,0,0,1,1,1,1,50.0,87.5,100.0,100.0,75.0,0.0,90.625,aligned
15,Maharashtra,55.0,48.5,secondary,rural,41.5,32.482852278,0.03614457831325301,0.003740648379052369,-6.5,,"73.9598535,17.2445146,73.95891,17.2376085",Valid,0,0,0,0,0,0,1,1,1,1,50.0,87.5,100.0,100.0,75.0,0.0,90.625,aligned
16,Maharashtra,55.0,31.5,secondary,rural,10.0,32.71169145,0.0,0.00399002493765586,-23.5,,"75.7478544,19.572054,75.7717717,19.555453",Valid,0,0,0,0,0,0,1,1,1,1,50.0,87.5,100.0,100.0,75.0,0.0,90.625,aligned
17,Maharashtra,55.0,57.5,secondary,rural,50.0,33.4019647,0.19,0.004239401496259352,2.5,,"79.9436828,18.8368807,79.9490226,18.8400598",Valid,0,0,0,0,0,0,1,1,1,1,50.0,87.5,91.66666666666667,100.0,75.0,0.0,88.95833333333333,aligned
18,Maharashtra,55.0,34.5,secondary,rural,3.5,34.147866182499996,0.0,0.004488778054862843,-20.5,,"75.8971153,20.1249535,75.8177362,20.1250346",Valid,0,0,0,0,0,0,1,1,1,1,50.0,87.5,100.0,100.0,75.0,0.0,90.625,aligned
19,Maharashtra,55.0,26.0,secondary,rural,4.5,34.772619897,0.0,0.004738154613466334,-29.0,,"75.7120515,17.605645,75.6604917,17.5704947",Valid,0,0,0,0,0,0,1,1,1,1,50.0,87.5,100.0,100.0,75.0,0.0,90.625,aligned
