segment_id,country,posted_speed_limit_kph,operating_speed_kph,road_type,area_type,sample_size,weighted_sample,percent_over_limit,ranked_percentile,speed_gap_kph,source_name,source_streetimagelink,source_analysis_status,pedestrian_presence,cyclist_presence,ptw_presence,urban_flag,intersection_density_flag,roadside_activity_flag,non_separated_traffic_flag,data_quality_flag,score_eligible_flag,context_only_flag,safe_system_reference_speed_kph,speed_limit_gap_score,operating_speed_score,vru_exposure_score,context_score,uncertainty_penalty,speed_safety_score,priority_label
2,Thailand,66.0,115.2,primary,rural,44479.6,102303.08,0.5756211836437378,26.253457814661136,49.2,Surin Ring Road,"103.43891053,14.86699584,103.48332214,14.94166589",Valid,0,0,0,0,0,0,1,1,1,1,50.0,60.0,0.0,100.0,82.0,0.0,62.400000000000006,monitor
6,Thailand,70.0,84.66666667,primary,urban,27729.66666667,52686.366667,0.5292767072569691,16.459197786998615,14.66666667,Surin Ring Road,"103.5215639,14.9379571,103.50238738,14.94199565",Valid,1,0,1,1,1,1,1,1,1,1,30.0,0.0,51.1111111,55.0,47.0,0.0,33.37222222,high_priority_review
7,Thailand,30.0,21.0,primary,rural,3.33333333,6.333333,0.3,0.1296680497925311,-9.0,Surin Ring Road,"103.50238738,14.94199565,103.48521899,14.94199565",Valid,0,0,0,0,0,0,1,1,1,1,50.0,100.0,100.0,100.0,82.0,0.0,96.4,aligned
9,Thailand,90.0,97.25,primary,rural,275650.0,1019905.0,0.3518193361146381,74.05774550484094,7.25,Surin Ring Road,"103.48332214,14.94148244,103.43913438,14.86699584",Valid,0,0,0,0,0,0,1,1,1,1,50.0,0.0,75.83333333333333,100.0,82.0,0.0,56.56666666666666,monitor
18,Thailand,80.0,76.0,secondary,urban,744341.0,148868.2,0.09000041647578193,34.1804979253112,-4.0,Sukhaphiban 5 Road,"100.6520076,13.8817104,100.6554489,13.887161",Valid,1,1,1,1,1,1,1,1,1,1,30.0,0.0,100.0,32.5,40.0,0.0,36.125,high_priority_review
19,Thailand,80.0,37.5,secondary,urban,535558.0,2249343.6,0.0,84.70781466113417,-42.5,Sukhaphiban 5 Road,"100.6554489,13.887161,100.6868626,13.9215277",Valid,1,1,1,1,1,1,1,1,1,1,30.0,0.0,100.0,32.5,40.0,0.0,36.125,high_priority_review
26,Thailand,80.0,32.5,secondary,urban,418943.5,418943.5,0.0,56.96749654218534,-47.5,Si Chan Road,"102.8235398,16.4321236,102.8408622,16.4296991",Valid,1,1,1,1,1,1,1,1,1,1,30.0,0.0,100.0,32.5,40.0,0.0,36.125,high_priority_review
27,Thailand,80.0,57.0,secondary,urban,525354.0,1418455.8,0.0,79.01970954356847,-23.0,Si Chan Road,"102.8408622,16.4296991,102.8707665,16.4272522",Valid,1,1,1,1,1,1,1,1,1,1,30.0,0.0,100.0,32.5,40.0,0.0,36.125,high_priority_review
28,Thailand,80.0,59.0,secondary,urban,587241.0,1585550.7,0.0,80.42876901798064,-21.0,Si Chan Road,"102.8707606,16.4271171,102.8408622,16.4296991",Valid,1,1,1,1,1,1,1,1,1,1,30.0,0.0,100.0,32.5,40.0,0.0,36.125,high_priority_review
30,Thailand,80.0,106.0,expressway,urban,3225895.0,25161981.0,0.6666667699971636,97.3634163208852,26.0,Kanchanaphisek Road,"100.5178638,13.6239279,100.4107064,13.6417155",Valid,0,0,0,1,0,0,0,1,1,1,50.0,25.0,13.333333333333329,100.0,80.0,0.0,52.416666666666664,review
33,Thailand,85.0,93.5,expressway,urban,5754773.0,48340093.2,0.4394703349884697,98.45262793914247,8.5,Kanchanaphisek Road,"100.4126347,13.6390698,100.5189035,13.624636",Valid,0,0,0,1,0,0,0,1,1,1,50.0,12.5,71.66666666666666,100.0,80.0,0.0,59.70833333333333,monitor
37,Thailand,120.0,108.0,expressway,urban,30302849.0,233331937.3,0.020177343721047482,99.4121715076072,-12.0,Kanchanaphisek Road,"100.7128153,13.9702892,100.69567232,14.07532886",Valid,0,0,0,1,0,0,0,1,1,1,50.0,0.0,100.0,100.0,80.0,0.0,61.0,monitor
38,Thailand,120.0,115.33333333,expressway,rural,10339718.0,32053125.8,0.07998670756784662,97.78699861687413,-4.66666667,Kanchanaphisek Road,"100.69567232,14.07532886,100.67265583,14.12532905",Valid,0,0,0,0,0,0,0,1,1,1,70.0,0.0,100.0,100.0,100.0,0.0,65.0,monitor
39,Thailand,120.0,111.33333333,expressway,urban,10344319.0,48618299.3,0.0402483720774659,98.4612724757953,-8.66666667,Kanchanaphisek Road,"100.67265583,14.12532905,100.6408592,14.1817686",Valid,0,0,0,1,0,0,0,1,1,1,50.0,0.0,100.0,100.0,80.0,0.0,61.0,monitor
40,Thailand,120.0,105.0,expressway,urban,5754619.0,16688395.1,0.0,96.55082987551867,-15.0,Kanchanaphisek Road,"100.6409784,14.1819488,100.6728678,14.12532904",Valid,0,0,0,1,0,0,0,1,1,1,50.0,0.0,100.0,100.0,80.0,0.0,61.0,monitor
41,Thailand,120.0,112.5,expressway,rural,6893293.0,19990549.7,0.025112380976697202,96.93983402489627,-7.5,Kanchanaphisek Road,"100.6728678,14.12532904,100.69585233,14.07532886",Valid,0,0,0,0,0,0,0,1,1,1,70.0,0.0,100.0,100.0,100.0,0.0,65.0,monitor
42,Thailand,120.0,109.2,expressway,urban,20724979.0,132639865.6,0.0,99.1960580912863,-10.8,Kanchanaphisek Road,"100.69585233,14.07532886,100.7132912,13.9806145",Valid,0,0,0,1,0,0,0,1,1,1,50.0,0.0,100.0,100.0,80.0,0.0,61.0,monitor
43,Thailand,120.0,98.98484848,expressway,urban,57133254.0,719879000.4,0.0,99.71473029045643,-21.01515152,Kanchanaphisek Road,"100.684547,13.6474406,100.7127195,13.957105",Valid,0,0,0,1,0,0,0,1,1,1,50.0,0.0,100.0,100.0,80.0,0.0,61.0,monitor
44,Thailand,120.0,100.5,expressway,urban,11640575.0,33757667.5,0.0,97.85615491009682,-19.5,Kanchanaphisek Road,"100.7013879,13.7520425,100.6855657,13.6475331",Valid,0,0,0,1,0,0,0,1,1,1,50.0,0.0,100.0,100.0,80.0,0.0,61.0,monitor
45,Thailand,120.0,101.22222222,expressway,urban,48545772.0,349529558.4,0.18547489573345338,99.5591286307054,-18.77777778,Kanchanaphisek Road,"100.7132005,13.9678395,100.6976656,13.75881",Valid,0,0,0,1,0,0,0,1,1,1,50.0,0.0,100.0,100.0,80.0,0.0,61.0,monitor
53,Thailand,40.0,104.0,expressway,urban,2230604.0,3122845.6,1.0,87.84578146611341,64.0,Kanchanaphisek Road,"100.7132912,13.9806145,100.7132005,13.9678395",Valid,0,0,0,1,1,0,0,1,1,1,50.0,100.0,0.0,100.0,65.0,0.0,73.0,monitor
