rank,segment_id,road_type,area_type,posted_speed_limit_kph,operating_speed_kph,safe_system_reference_speed_kph,pedestrian_presence,cyclist_presence,ptw_presence,urban_flag,intersection_density_flag,speed_limit_gap_score,operating_speed_score,vru_exposure_score,context_score,speed_safety_score,priority_label
1,1383,secondary,urban,55.0,80.0,30.0,1,1,1,1,1,37.5,16.666666666666657,32.5,40.0,32.58333333333333,high_priority_review
2,2866,arterial,urban,80.0,104.0,30.0,0,0,1,1,1,0.0,20.0,77.5,50.0,33.375,high_priority_review
3,287,secondary,urban,80.0,40.0,30.0,1,1,1,1,1,0.0,100.0,32.5,40.0,36.125,high_priority_review
4,2054,secondary,urban,55.0,71.75,30.0,1,1,1,1,1,37.5,44.16666666666666,32.5,40.0,38.083333333333336,review
5,2084,arterial,urban,60.0,89.22222222222223,30.0,0,0,1,1,1,25.0,2.592592592592567,77.5,50.0,38.64351851851851,review
6,2841,arterial,urban,80.0,95.0,30.0,0,0,1,1,1,0.0,50.0,77.5,50.0,39.375,review
7,3577,arterial,urban,80.0,98.0,30.0,0,0,1,1,0,0.0,40.0,77.5,65.0,40.375,review
8,3420,arterial,urban,60.0,97.5,30.0,0,0,1,1,0,25.0,0.0,77.5,65.0,41.125,review
9,2786,arterial,urban,60.0,85.0,30.0,0,0,1,1,1,25.0,16.666666666666657,77.5,50.0,41.45833333333333,review
10,2321,primary,urban,55.0,81.0,30.0,1,0,1,1,0,37.5,13.333333333333329,55.0,62.0,41.94166666666666,review
11,2291,arterial,urban,55.0,85.0,30.0,0,0,1,1,1,37.5,0.0,77.5,50.0,42.5,review
12,3774,primary,urban,80.0,23.666666666666668,30.0,1,0,1,1,1,0.0,100.0,55.0,47.0,43.15,review
13,2301,primary,urban,80.0,56.2,30.0,1,0,1,1,1,0.0,100.0,55.0,47.0,43.15,review
14,2913,primary,urban,80.0,41.75,30.0,1,0,1,1,1,0.0,100.0,55.0,47.0,43.15,review
15,3786,primary,urban,80.0,31.33333333333333,30.0,1,0,1,1,1,0.0,100.0,55.0,47.0,43.15,review
16,960,primary,urban,80.0,58.833333333333336,30.0,1,0,1,1,1,0.0,100.0,55.0,47.0,43.15,review
17,2691,primary,urban,80.0,69.0,30.0,1,0,1,1,1,0.0,100.0,55.0,47.0,43.15,review
18,2511,primary,urban,80.0,59.0,30.0,1,0,1,1,1,0.0,100.0,55.0,47.0,43.15,review
19,2187,primary,urban,80.0,53.0,30.0,1,0,1,1,1,0.0,100.0,55.0,47.0,43.15,review
20,2060,primary,urban,80.0,66.5,30.0,1,0,1,1,1,0.0,100.0,55.0,47.0,43.15,review
21,2521,primary,urban,80.0,59.333333333333336,30.0,1,0,1,1,1,0.0,100.0,55.0,47.0,43.15,review
22,2943,primary,urban,80.0,44.66666666666666,30.0,1,0,1,1,1,0.0,100.0,55.0,47.0,43.15,review
23,2219,primary,urban,80.0,57.0,30.0,1,0,1,1,1,0.0,100.0,55.0,47.0,43.15,review
24,1017,primary,urban,80.0,54.875,30.0,1,0,1,1,1,0.0,100.0,55.0,47.0,43.15,review
25,2170,primary,urban,80.0,36.34615384615385,30.0,1,0,1,1,1,0.0,100.0,55.0,47.0,43.15,review
26,1967,primary,urban,80.0,56.0,30.0,1,0,1,1,1,0.0,100.0,55.0,47.0,43.15,review
27,2675,primary,urban,80.0,57.333333333333336,30.0,1,0,1,1,1,0.0,100.0,55.0,47.0,43.15,review
28,2235,primary,urban,80.0,47.0,30.0,1,0,1,1,1,0.0,100.0,55.0,47.0,43.15,review
29,3489,arterial,urban,80.0,92.0,30.0,0,0,1,1,0,0.0,60.0,77.5,65.0,44.375,review
30,1755,secondary,urban,55.0,61.5,30.0,1,1,1,1,1,37.5,78.33333333333333,32.5,40.0,44.91666666666666,review
31,717,secondary,urban,55.0,61.5,30.0,1,1,1,1,1,37.5,78.33333333333333,32.5,40.0,44.91666666666666,review
32,1548,secondary,urban,45.0,63.0,30.0,1,1,1,1,1,62.5,40.0,32.5,40.0,46.0,review
33,3832,primary,urban,80.0,44.27272727272727,30.0,1,0,1,1,0,0.0,100.0,55.0,62.0,46.15,review
34,1577,secondary,urban,55.0,59.0,30.0,1,1,1,1,1,37.5,86.66666666666667,32.5,40.0,46.583333333333336,review
35,2710,arterial,urban,80.0,84.0,30.0,0,0,1,1,1,0.0,86.66666666666667,77.5,50.0,46.708333333333336,review
36,2800,arterial,urban,55.0,78.16666666666667,30.0,0,0,1,1,1,37.5,22.77777777777776,77.5,50.0,47.05555555555555,review
37,2891,arterial,urban,55.0,77.5,30.0,0,0,1,1,1,37.5,25.0,77.5,50.0,47.5,review
38,913,secondary,urban,55.0,57.5,30.0,1,1,1,1,1,37.5,91.66666666666669,32.5,40.0,47.583333333333336,review
39,1732,primary,urban,55.0,67.75,30.0,1,0,1,1,1,37.5,57.5,55.0,47.0,47.775,review
40,1629,secondary,urban,55.0,57.0,30.0,1,1,1,1,1,37.5,93.33333333333331,32.5,40.0,47.91666666666667,review
41,3098,arterial,urban,80.0,82.0,30.0,0,0,1,1,1,0.0,93.33333333333331,77.5,50.0,48.04166666666667,review
42,1567,primary,urban,55.0,67.0,30.0,1,0,1,1,1,37.5,60.0,55.0,47.0,48.275,review
43,1106,arterial,urban,55.0,76.0,30.0,0,0,1,1,1,37.5,30.0,77.5,50.0,48.5,review
44,1693,arterial,urban,55.0,76.0,30.0,0,0,1,1,1,37.5,30.0,77.5,50.0,48.5,review
45,2496,arterial,urban,55.0,76.0,30.0,0,0,1,1,1,37.5,30.0,77.5,50.0,48.5,review
46,1429,secondary,urban,55.0,55.75,30.0,1,1,1,1,1,37.5,97.5,32.5,40.0,48.75,review
47,1007,secondary,urban,45.0,58.16666666666666,30.0,1,1,1,1,1,62.5,56.11111111111112,32.5,40.0,49.22222222222222,review
48,3429,secondary,urban,55.0,43.5,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
49,1096,secondary,urban,55.0,48.0,30.0,1,1,1,1,1,37.5,100.0,32.5,40.0,49.25,review
