country,rank,segment_id,road_type,area_type,posted_speed_limit_kph,operating_speed_kph,safe_system_reference_speed_kph,speed_safety_score,priority_label
maharashtra,1,1383,secondary,urban,55.0,80.0,30.0,32.58333333333333,high_priority_review
maharashtra,2,2866,arterial,urban,80.0,104.0,30.0,33.375,high_priority_review
maharashtra,3,287,secondary,urban,80.0,40.0,30.0,36.125,high_priority_review
maharashtra,4,2054,secondary,urban,55.0,71.75,30.0,38.083333333333336,review
maharashtra,5,2084,arterial,urban,60.0,89.22222222222223,30.0,38.64351851851851,review
maharashtra,6,2841,arterial,urban,80.0,95.0,30.0,39.375,review
maharashtra,7,3577,arterial,urban,80.0,98.0,30.0,40.375,review
maharashtra,8,3420,arterial,urban,60.0,97.5,30.0,41.125,review
maharashtra,9,2786,arterial,urban,60.0,85.0,30.0,41.45833333333333,review
maharashtra,10,2321,primary,urban,55.0,81.0,30.0,41.94166666666666,review
maharashtra,11,2291,arterial,urban,55.0,85.0,30.0,42.5,review
maharashtra,12,3774,primary,urban,80.0,23.666666666666668,30.0,43.15,review
maharashtra,13,2301,primary,urban,80.0,56.2,30.0,43.15,review
maharashtra,14,2913,primary,urban,80.0,41.75,30.0,43.15,review
maharashtra,15,3786,primary,urban,80.0,31.33333333333333,30.0,43.15,review
maharashtra,16,960,primary,urban,80.0,58.833333333333336,30.0,43.15,review
maharashtra,17,2691,primary,urban,80.0,69.0,30.0,43.15,review
maharashtra,18,2511,primary,urban,80.0,59.0,30.0,43.15,review
maharashtra,19,2187,primary,urban,80.0,53.0,30.0,43.15,review
maharashtra,20,2060,primary,urban,80.0,66.5,30.0,43.15,review
thailand,1,53165,secondary,urban,70.0,99.33333333,30.0,16.569444446666665,high_priority_review
thailand,2,52405,secondary,urban,66.0,113.66666667,30.0,19.625,high_priority_review
thailand,3,53126,secondary,urban,80.0,103.0,30.0,20.791666666666664,high_priority_review
thailand,4,52837,secondary,urban,80.0,102.0,30.0,21.45833333333333,high_priority_review
thailand,5,16790,secondary,urban,80.0,102.0,30.0,21.45833333333333,high_priority_review
thailand,6,53259,secondary,urban,80.0,101.0,30.0,22.125,high_priority_review
thailand,7,53416,secondary,urban,70.0,90.33333333,30.0,22.569444446666665,high_priority_review
thailand,8,42666,secondary,urban,80.0,100.0,30.0,22.791666666666664,high_priority_review
thailand,9,372,secondary,urban,80.0,100.0,30.0,22.791666666666664,high_priority_review
thailand,10,19892,primary,urban,80.0,110.0,30.0,23.15,high_priority_review
thailand,11,22527,primary,urban,80.0,109.0,30.0,23.816666666666663,high_priority_review
thailand,12,44785,secondary,urban,80.0,98.0,30.0,24.125,high_priority_review
thailand,13,36013,secondary,urban,80.0,98.0,30.0,24.125,high_priority_review
thailand,14,34229,secondary,urban,80.0,98.0,30.0,24.125,high_priority_review
thailand,15,35853,secondary,urban,80.0,98.0,30.0,24.125,high_priority_review
thailand,16,37462,secondary,urban,80.0,98.0,30.0,24.125,high_priority_review
thailand,17,38816,secondary,urban,80.0,98.0,30.0,24.125,high_priority_review
thailand,18,52299,secondary,urban,80.0,97.0,30.0,24.791666666666664,high_priority_review
thailand,19,54215,secondary,urban,80.0,97.0,30.0,24.791666666666664,high_priority_review
thailand,20,34241,secondary,urban,80.0,97.0,30.0,24.791666666666664,high_priority_review
