segment_id,speed_safety_score,priority_label,posted_speed_limit_kph,operating_speed_kph,safe_system_reference_speed_kph,road_type,area_type
2,90.625,aligned,55.0,18.0,50.0,secondary,rural
4,90.625,aligned,55.0,18.0,50.0,secondary,rural
5,90.625,aligned,55.0,13.333333333333334,50.0,secondary,rural
6,83.33333333333334,aligned,45.0,62.5,50.0,secondary,rural
9,90.625,aligned,55.0,29.5,50.0,secondary,rural
10,90.625,aligned,55.0,35.5,50.0,secondary,rural
11,90.625,aligned,55.0,43.0,50.0,secondary,rural
13,90.625,aligned,55.0,42.0,50.0,secondary,rural
14,90.625,aligned,55.0,29.33333333333333,50.0,secondary,rural
15,90.625,aligned,55.0,48.5,50.0,secondary,rural
16,90.625,aligned,55.0,31.5,50.0,secondary,rural
17,88.95833333333333,aligned,55.0,57.5,50.0,secondary,rural
18,90.625,aligned,55.0,34.5,50.0,secondary,rural
19,90.625,aligned,55.0,26.0,50.0,secondary,rural
20,90.625,aligned,55.0,44.0,50.0,secondary,rural
21,90.625,aligned,55.0,42.0,50.0,secondary,rural
23,92.025,aligned,55.0,17.75,50.0,primary,rural
24,90.625,aligned,55.0,45.66666666666666,50.0,secondary,rural
25,90.625,aligned,55.0,48.833333333333336,50.0,secondary,rural
26,90.625,aligned,55.0,53.0,50.0,secondary,rural
27,90.625,aligned,55.0,41.0,50.0,secondary,rural
28,90.625,aligned,55.0,27.0,50.0,secondary,rural
29,90.625,aligned,55.0,25.0,50.0,secondary,rural
30,90.625,aligned,55.0,26.5,50.0,secondary,rural
31,90.625,aligned,55.0,38.5,50.0,secondary,rural
32,90.625,aligned,55.0,43.0,50.0,secondary,rural
33,90.625,aligned,55.0,25.5,50.0,secondary,rural
34,90.625,aligned,55.0,31.8,50.0,secondary,rural
35,90.625,aligned,55.0,42.25,50.0,secondary,rural
36,90.625,aligned,55.0,38.5,50.0,secondary,rural
37,90.625,aligned,55.0,29.0,50.0,secondary,rural
38,90.625,aligned,55.0,48.0,50.0,secondary,rural
39,92.625,aligned,55.0,29.33333333333333,50.0,arterial,rural
40,90.625,aligned,55.0,29.5,50.0,secondary,rural
41,90.625,aligned,55.0,29.83333333333333,50.0,secondary,rural
42,90.625,aligned,55.0,26.83333333333333,50.0,secondary,rural
43,90.625,aligned,55.0,28.5,50.0,secondary,rural
44,90.625,aligned,55.0,28.0,50.0,secondary,rural
45,90.625,aligned,55.0,34.5,50.0,secondary,rural
46,90.625,aligned,55.0,39.5,50.0,secondary,rural
47,90.625,aligned,55.0,52.5,50.0,secondary,rural
48,90.625,aligned,55.0,20.5,50.0,secondary,rural
50,90.625,aligned,55.0,26.0,50.0,secondary,rural
51,58.0,monitor,45.0,40.0,30.0,secondary,urban
52,90.625,aligned,55.0,26.0,50.0,secondary,rural
53,90.625,aligned,55.0,32.75,50.0,secondary,rural
54,90.625,aligned,55.0,44.0,50.0,secondary,rural
56,90.625,aligned,55.0,51.5,50.0,secondary,rural
57,90.625,aligned,55.0,31.166666666666668,50.0,secondary,rural
58,90.625,aligned,55.0,41.25,50.0,secondary,rural
60,90.625,aligned,55.0,26.0,50.0,secondary,rural
61,90.625,aligned,55.0,35.0,50.0,secondary,rural
63,90.625,aligned,55.0,36.5,50.0,secondary,rural
64,90.625,aligned,55.0,24.5,50.0,secondary,rural
65,90.625,aligned,55.0,48.5,50.0,secondary,rural
66,90.625,aligned,55.0,47.0,50.0,secondary,rural
67,90.625,aligned,55.0,43.5,50.0,secondary,rural
68,90.625,aligned,55.0,41.25,50.0,secondary,rural
69,90.625,aligned,55.0,31.5,50.0,secondary,rural
70,90.625,aligned,55.0,22.875,50.0,secondary,rural
71,90.625,aligned,55.0,43.0,50.0,secondary,rural
72,90.625,aligned,55.0,42.5,50.0,secondary,rural
73,90.625,aligned,55.0,26.0,50.0,secondary,rural
75,89.29166666666666,aligned,55.0,57.0,50.0,secondary,rural
77,90.625,aligned,55.0,34.166666666666664,50.0,secondary,rural
78,90.625,aligned,55.0,35.0,50.0,secondary,rural
79,88.51388888888889,aligned,55.0,58.16666666666666,50.0,secondary,rural
80,90.625,aligned,55.0,28.0,50.0,secondary,rural
81,54.33333333333333,review,45.0,50.5,30.0,secondary,urban
82,85.625,aligned,55.0,62.5,50.0,secondary,rural
83,90.625,aligned,55.0,44.3,50.0,secondary,rural
84,90.625,aligned,55.0,29.75,50.0,secondary,rural
85,90.625,aligned,55.0,30.0,50.0,secondary,rural
86,90.625,aligned,55.0,49.0,50.0,secondary,rural
88,87.625,aligned,55.0,59.5,50.0,secondary,rural
89,90.625,aligned,55.0,32.0,50.0,secondary,rural
90,90.625,aligned,55.0,36.5,50.0,secondary,rural
91,90.625,aligned,55.0,41.8,50.0,secondary,rural
92,90.625,aligned,55.0,47.0,50.0,secondary,rural
93,89.525,aligned,55.0,58.75,50.0,primary,rural
94,90.625,aligned,55.0,35.5,50.0,secondary,rural
95,90.625,aligned,55.0,39.16666666666666,50.0,secondary,rural
97,90.625,aligned,55.0,33.0,50.0,secondary,rural
98,90.625,aligned,55.0,26.75,50.0,secondary,rural
99,88.29166666666666,aligned,55.0,58.5,50.0,secondary,rural
100,90.625,aligned,55.0,33.5,50.0,secondary,rural
101,90.625,aligned,55.0,30.0,50.0,secondary,rural
102,90.625,aligned,55.0,28.5,50.0,secondary,rural
103,90.625,aligned,55.0,38.05555555555556,50.0,secondary,rural
104,90.625,aligned,55.0,44.5,50.0,secondary,rural
105,90.625,aligned,55.0,21.5,50.0,secondary,rural
106,90.625,aligned,55.0,42.5,50.0,secondary,rural
107,90.625,aligned,55.0,33.0,50.0,secondary,rural
108,94.0,aligned,30.0,31.5,50.0,secondary,rural
109,90.625,aligned,55.0,36.5,50.0,secondary,rural
111,90.625,aligned,55.0,52.333333333333336,50.0,secondary,rural
112,90.625,aligned,55.0,40.333333333333336,50.0,secondary,rural
113,90.625,aligned,55.0,34.75,50.0,secondary,rural
114,90.625,aligned,55.0,49.0,50.0,secondary,rural
115,90.625,aligned,55.0,37.5,50.0,secondary,rural
116,90.625,aligned,55.0,39.0,50.0,secondary,rural
117,49.25,review,55.0,32.0,30.0,secondary,urban
118,90.625,aligned,55.0,42.5,50.0,secondary,rural
119,90.625,aligned,55.0,35.5,50.0,secondary,rural
120,90.625,aligned,55.0,44.0,50.0,secondary,rural
121,90.625,aligned,55.0,46.875,50.0,secondary,rural
122,87.95833333333333,aligned,55.0,59.0,50.0,secondary,rural
123,85.45833333333333,aligned,55.0,62.75,50.0,secondary,rural
124,90.625,aligned,55.0,43.0,50.0,secondary,rural
125,78.29166666666666,aligned,55.0,73.5,50.0,secondary,rural
126,87.79166666666666,aligned,55.0,59.25,50.0,secondary,rural
127,84.95833333333333,aligned,55.0,63.5,50.0,secondary,rural
128,90.625,aligned,55.0,49.5,50.0,secondary,rural
129,90.625,aligned,55.0,30.5,50.0,secondary,rural
130,90.625,aligned,55.0,32.166666666666664,50.0,secondary,rural
131,90.625,aligned,55.0,35.5,50.0,secondary,rural
132,90.625,aligned,55.0,55.0,50.0,secondary,rural
133,90.625,aligned,55.0,39.25,50.0,secondary,rural
134,90.625,aligned,55.0,35.5,50.0,secondary,rural
135,90.625,aligned,55.0,35.5,50.0,secondary,rural
136,86.95833333333333,aligned,55.0,60.5,50.0,secondary,rural
137,88.625,aligned,55.0,58.0,50.0,secondary,rural
138,90.625,aligned,55.0,28.25,50.0,secondary,rural
139,90.625,aligned,55.0,25.5,50.0,secondary,rural
140,90.625,aligned,55.0,53.5,50.0,secondary,rural
141,90.625,aligned,55.0,27.0,50.0,secondary,rural
142,90.625,aligned,55.0,36.0,50.0,secondary,rural
143,83.29166666666666,aligned,55.0,66.0,50.0,secondary,rural
144,90.625,aligned,55.0,24.0,50.0,secondary,rural
145,90.625,aligned,55.0,44.0,50.0,secondary,rural
146,90.625,aligned,55.0,40.75,50.0,secondary,rural
147,91.33333333333331,aligned,45.0,50.5,50.0,secondary,rural
149,90.625,aligned,55.0,52.0,50.0,secondary,rural
150,90.625,aligned,55.0,44.5,50.0,secondary,rural
151,90.625,aligned,55.0,48.5,50.0,secondary,rural
152,90.625,aligned,55.0,49.333333333333336,50.0,secondary,rural
153,90.625,aligned,55.0,40.0,50.0,secondary,rural
154,90.625,aligned,55.0,23.5,50.0,secondary,rural
155,90.625,aligned,55.0,32.166666666666664,50.0,secondary,rural
