segment_id,speed_safety_score,priority_label,posted_speed_limit_kph,operating_speed_kph,safe_system_reference_speed_kph,road_type,area_type
2,62.400000000000006,monitor,66.0,115.2,50.0,primary,rural
6,33.37222222,high_priority_review,70.0,84.66666667,30.0,primary,urban
7,96.4,aligned,30.0,21.0,50.0,primary,rural
9,56.56666666666666,monitor,90.0,97.25,50.0,primary,rural
18,36.125,high_priority_review,80.0,76.0,30.0,secondary,urban
19,36.125,high_priority_review,80.0,37.5,30.0,secondary,urban
26,36.125,high_priority_review,80.0,32.5,30.0,secondary,urban
27,36.125,high_priority_review,80.0,57.0,30.0,secondary,urban
28,36.125,high_priority_review,80.0,59.0,30.0,secondary,urban
30,52.41666666666666,review,80.0,106.0,50.0,expressway,urban
33,59.70833333333333,monitor,85.0,93.5,50.0,expressway,urban
37,61.0,monitor,120.0,108.0,50.0,expressway,urban
38,65.0,monitor,120.0,115.33333333,70.0,expressway,rural
39,61.0,monitor,120.0,111.33333333,50.0,expressway,urban
40,61.0,monitor,120.0,105.0,50.0,expressway,urban
41,65.0,monitor,120.0,112.5,70.0,expressway,rural
42,61.0,monitor,120.0,109.2,50.0,expressway,urban
43,61.0,monitor,120.0,98.98484848,50.0,expressway,urban
44,61.0,monitor,120.0,100.5,50.0,expressway,urban
45,61.0,monitor,120.0,101.22222222,50.0,expressway,urban
53,73.0,monitor,40.0,104.0,50.0,expressway,urban
54,58.0,monitor,120.0,82.0,50.0,expressway,urban
55,36.125,high_priority_review,80.0,53.0,30.0,secondary,urban
60,36.125,high_priority_review,80.0,55.5,30.0,secondary,urban
61,36.125,high_priority_review,80.0,62.0,30.0,secondary,urban
66,68.75,monitor,80.0,48.0,50.0,secondary,rural
70,43.15,review,85.0,62.0,30.0,primary,urban
71,36.125,high_priority_review,80.0,55.0,30.0,secondary,urban
75,36.125,high_priority_review,80.0,65.0,30.0,secondary,urban
76,36.125,high_priority_review,80.0,66.0,30.0,secondary,urban
77,60.0,monitor,90.0,82.44444444,50.0,secondary,rural
78,36.125,high_priority_review,80.0,75.0,30.0,secondary,urban
82,36.125,high_priority_review,80.0,57.0,30.0,secondary,urban
85,36.125,high_priority_review,80.0,46.0,30.0,secondary,urban
88,36.125,high_priority_review,80.0,41.0,30.0,secondary,urban
89,36.125,high_priority_review,80.0,44.0,30.0,secondary,urban
93,44.70833333333333,review,80.0,87.0,30.0,arterial,urban
94,38.708333333333336,review,80.0,96.0,30.0,arterial,urban
95,46.375,review,80.0,89.0,30.0,arterial,urban
96,47.04166666666666,review,80.0,88.0,30.0,arterial,urban
97,52.375,review,90.0,77.66666666,30.0,arterial,urban
98,64.15740741333333,monitor,80.0,89.88888888,50.0,arterial,rural
99,49.375,review,120.0,104.5,30.0,arterial,urban
100,62.0,monitor,120.0,107.0,50.0,arterial,rural
101,49.375,review,120.0,106.0,30.0,arterial,urban
103,52.375,review,80.0,78.52380952,30.0,arterial,urban
104,52.375,review,120.0,86.42105263,30.0,arterial,urban
107,62.0,monitor,120.0,104.0,50.0,arterial,rural
108,40.04166666666666,review,90.0,104.0,30.0,arterial,urban
109,58.76190476666666,monitor,90.0,94.85714285,50.0,arterial,rural
110,52.375,review,90.0,88.66666666,30.0,arterial,urban
112,56.73333333333333,monitor,90.0,97.0,50.0,primary,rural
113,37.48333333333333,review,90.0,103.0,30.0,primary,urban
115,60.150000000000006,monitor,80.0,95.0,50.0,primary,rural
116,43.15,review,90.0,85.0,30.0,primary,urban
117,43.15,review,80.0,40.5,30.0,primary,urban
119,36.125,high_priority_review,75.0,49.0,30.0,secondary,urban
128,43.15,review,80.0,42.0,30.0,primary,urban
136,70.75,monitor,80.0,78.0,50.0,arterial,rural
137,42.375,review,90.0,105.0,30.0,arterial,urban
139,70.75,monitor,80.0,51.0,50.0,arterial,rural
143,42.70833333333333,review,80.0,90.0,30.0,arterial,urban
